time,logger,level,database,message,exception
2016-01-18 12:53:54.6725,Raven.Database.DocumentDatabase,Debug,<system>,Start loading the following database: <system>,
2016-01-18 12:53:55.2456,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 5345640448
  PollingInterval     = 00:02:00",
2016-01-18 12:53:55.2526,Raven.Database.Storage.Esent.StorageConfigurator,Info,<system>,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2016-01-18 12:53:55.2526,Raven.Storage.Esent.TransactionalStorage,Info,<system>,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2016-01-18 12:53:57.2168,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Backup/Status' was not found,
2016-01-18 12:53:57.3268,Raven.Database.DocumentDatabase,Debug,,Finish loading the following database: <system>,
2016-01-18 12:53:57.3268,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Counters/Enabled' was not found,
2016-01-18 12:53:57.3268,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2016-01-18 12:53:57.3268,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2016-01-18 12:53:57.3418,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2016-01-18 12:54:27.1878,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:54:57.1998,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:55:27.2158,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:55:57.2308,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:56:19.0200,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  23: GET     -    14 ms -            - 200 - http://localhost:9029/singleAuthToken,
2016-01-18 12:56:19.0890,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  24: GET     -    42 ms -            - 200 - http://localhost:9029/studio-tasks/server-configs,
2016-01-18 12:56:19.1400,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  26: GET     -   101 ms -            - 200 - http://localhost:9029/databases?pageSize=1024&getAdditionalData=true,
2016-01-18 12:56:19.1400,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  27: GET     -    65 ms -            - 200 - http://localhost:9029/fs?pageSize=1024&getAdditionalData=true,
2016-01-18 12:56:19.1940,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  28: GET     -     5 ms -            - 200 - http://localhost:9029/build/version,
2016-01-18 12:56:19.1940,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  29: GET     -    40 ms -            - 500 - http://localhost:9029/changes/websocket?singleUseAuthToken=3adb96f9-5c71-4699-ab71-44f6e72dfbaf&id=U7s1V&coolDownWithDataLoss=0&isMultyTenantTransport=false,
2016-01-18 12:56:19.2290,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  31: GET     -    15 ms -            - 200 - http://localhost:9029/license/status,
2016-01-18 12:56:19.2290,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2016-01-18 12:56:19.2440,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  32: GET     -     6 ms -            - 200 - http://localhost:9029/operation/alerts,
2016-01-18 12:56:19.2720,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/StudioConfig' was not found,
2016-01-18 12:56:19.2720,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
